user,tweet
IndiaTomorrow.net,@Ansari___07 @30guptavivek @PJkanojia @007AliSohrab @aimim_national @AcharyaPramodk @anuragkashyap72 @AshrafFem… https://t.co/yig9Nf6Skr
blackSWAN,@NAN_DINI_ Glad EU acknowledged that CAA has been passed after the due process. Btw. all the western nations have s… https://t.co/daEeVCi2Ib
Dev Desai,"https://t.co/fbJSWJWidX
#jamiafiring 
#JamiaMilliaIslamia 
#jamiaprotests 
#NRC_CAA_Protest 
#nrc_caa_npr_protest 
#NRC_CAA"
cak aahh,@biobeuyu Aku virgo caa :(((
Neetika Mahindrakar,@Andycule_ @GoofyOlives @BhataktaTweet @dharmicverangna @ru_mansh @Ana_mika2 @Tapasyasin @Hindustaan_Mera… https://t.co/FRMO81kfrB
IndiaTomorrow.net,@KrisNair1 https://t.co/G6hhZr6yOx
ABDUL ZAMEER SHIMOGA,#ಅಂದು ಗಾಂಧೀಜಿಯನ್ನ ಕೊಂದಂತಹ ಮಾನೊಸ್ಥಿತಿಗಳೆ ಇಂದು ಜಾಮೀಯಾದಲ್ಲಿ ಗುಂಡು ಹಾರಿಸಿದಾರೆ* ಅಂದೂ ಸಹ ನಮ್ಮ ದೇಶದ ಫೋಲಿಸರು ನಿಃತು ಕೊಂಡೆ ನೋ… https://t.co/o3utod0HfP
skanda,@MirchiSayema Ye toh aap jyesa liberals hi karwarahe didi.  Jaise aap logo ne JNU khand kiya. Kaha hey apki ayshee… https://t.co/oxKnqq6EDB
Neelam Pandey,SAD leader and president of DSGMC ⁦@mssirsa⁩ tells me in an interview: “nothing wrong in statements like ‘Desh ke g… https://t.co/giEiZvzu1t
ny_999,"At first I thought this guy was #DelhiPolice  new commissioner, then I saw the news that the commissioner tenure ha… https://t.co/6WfzIA6WvB"
mukesh kumar,"@sambitswaraj 
🙏 I support CAA"
"Arthur, o Carvalho","Eu sabia que 2020 ia ter 366 dias, só não sabia que ia ser tudo em janeiro"
"Nandakishore-డు, N","@BDUTT So, brandishing the gun at somebody is OK, as  long as the one brandishing it is a BigotedJokeParty supporte… https://t.co/WybTkdxyHo"
Arif Shaik,Fellow Indians its now or never. CAA NRC NPR is against the constitution  #WorldAgainstCAA_NRC_NPR
venkat,@INCIndia We can expect Scamgress election tactics will still become worse as they did not get much advantage by CAA Protest.
IndiaTomorrow.net,@rehangulamahmed https://t.co/G6hhZr6yOx
Sayeed Ahmed,@gr_eternity @Anil82302640 @naukarshah They give reason persecuted by religion in these country’s the reality is Ah… https://t.co/Fw7mGhbNvA
APARNA,"अब तो यह स्पष्ट है CAA या NRC विरोध केवल मोदी और बीजेपी विरोध है,सुप्रीम कोर्ट आपकी राजनीतिक हार को जीत में नहीं बद… https://t.co/TiYRsmLBbI"
Love Chowkidar,@IndiaToday https://t.co/pcdCZcpppA
बिगड़ेल देशभक्त 11.4K💯 FB,"हिंदू शरणार्थी ने अपनी बेटी का नाम 'नागरिकता' रखा,

CAA विरोधी अपने पुत्र का नाम 'घुसपैठिया' रखकर करारा जवाब दे सकते हैं।
😝😝"
Aakash (Double Aey Kay Aye Ess Ech),"@rachitst @Amitraghat2 @acorn Pens for sale will remember everything, but won't remember folks killed and assaulted… https://t.co/HkgPXz7UVi"
Frank,"@BarackObama
@AOC @BernieSanders
@Trevornoah
@hasanminhaj @UN
@mehdirhasan

https://t.co/0nTjxiOz2R https://t.co/APSqAgiAix"
IndiaTomorrow.net,@Rohit640698 https://t.co/G6hhZr6yOx
sushil Meena,"IF Union Ministers from the stage chants ""गोली मारो""
Then Result is here ..
Before they killed #Gandhi ji,
Today th… https://t.co/Lu7yZOB7z0"
Mishra ji ki beti nation first💓🇮🇳,#CAA_NRC #CAA2019 #CAA_NRC_NPR https://t.co/lNSDTXQ5Qt
ASABE SHEHU YAR'ADUA,Gunman fires at anti-CAA protest rally in Delhi https://t.co/YolRJC4kHL https://t.co/po0yUeo7LD
Jeswin P Thomas,"@manoj25121974 @ashokhajeri @BJP4India @INCIndia I can't accept CAA because, അതിൽ ""People who suffering religious r… https://t.co/XvAkJmLieC"
